codeCPV,count
77320000-9,56
45214210,56
45246400-7,55
79998000,55
60120000-5,55
38000000-5,55
45343000,55
45262100-2,55
60182000-7,55
03410000-7,55
55110000-4,55
63515000-2,55
42416100,54
71351500-8,54
79710000,54
42512000-8,54
71312000,54
45234126,54
64200000,54
72260000,54
45216000-4,53
43261000-0,53
15119000-5,53
37524000-7,53
90470000,53
44113000-5,53
72212900-8,53
15897300-5,53
71323100-9,53
24100000-5,53
85148000-8,53
65000000-3,52
90400000-1,52
45261400-8,52
71317000-3,52
50312300-8,52
31527200-8,52
18830000-6,52
79824000-6,52
63712400-7,52
33760000-5,52
71700000-5,52
30163100,52
14210000-6,52
79311100,51
45422100-2,51
45233123-7,51
66171000-9,51
45421152,51
72250000,51
37400000,51
45420000,51
71314000-2,51
45252124-3,51
71356300,50
31682000,50
50114000-7,50
45223810-7,50
34352100-0,50
80511000,50
45342000,50
85210000-3,50
44115800,50
92360000-2,50
44511000-5,50
79311200,49
39221110-1,49
28862500-7,49
39155000-3,49
30237300-2,49
90491000-5,49
50111000-6,49
18110000,49
55523100,49
71352000-0,49
45232100,49
44316400,48
45222100-0,48
71541000-2,48
45520000-8,48
31522000-1,48
79411100,48
39222100-5,48
80510000-2,48
90420000-7,48
71318000-0,48
09200000-1,48
15540000-5,48
50312310-1,48
30192700-8,48
79311200-9,47
45315300-1,47
44316000,47
77000000-0,47
44000000-0,47
32250000-0,47
03142300-1,47
77211600-8,47
45112714-3,47
45252127-4,47
45111220,47
45261920-9,47
90513800-4,47
35125300-2,47
45261410,46
45259100-8,46
38434000,46
33771200-7,46
45212314,46
79414000-9,46
45221119,46
71420000,46
45421146,46
45211340-4,46
45233222-1,46
33182100-0,46
79714000,46
85312300-2,46
48450000-7,46
79630000-9,46
31518100-1,46
45432000-4,46
43800000-1,45
92521000,45
45221111-3,45
45212422,45
44220000,45
45262410-8,45
45315000,45
30121100,45
34350000-5,45
39234000,45
45215400,45
45216121,45
74131500-1,45
79000000-4,45
71311200-3,45
15111100-0,45
77200000-2,45
15896000,45
98130000,45
33192000-2,44
92312000,44
90520000-8,44
34992000-7,44
15897300,44
45215210,44
44114000-2,44
71631400-4,44
66330000-2,44
32321200-1,44
44423000-1,44
45214220-8,44
34430000-0,44
72590000,44
80000000-4,44
85121270-6,44
48810000-9,44
45246410-0,44
50313000-2,43
34142000-4,43
44162500,43
45213100-4,43
79632000-3,43
45255500-4,43
30197630,43
60182000,43
55250000,43
22200000-2,43
50000000,43
55321000,43
15811100,43
60181000-0,43
45261910,43
33191000-5,42
45213150,42
72000000,42
79961000-8,42
09121200-5,42
03221000-6,42
55521100-9,42
72413000-8,42
55240000-4,42
71355200-3,42
55110000,42
45431100,42
44112410-5,42
65200000-5,42
45212170-8,42
42410000-3,42
31700000-3,42
32321300-2,42
34330000,42
77100000-1,41
15894300-4,41
34928100-9,41
34000000-7,41
16810000-6,41
45312000-7,41
44316510-6,41
55242000,41
39715300-0,41
39222000-4,41
18930000-7,41
39522530-1,41
45112723,41
90923000,41
50112110-7,41
50530000-9,41
45212410-3,41
90680000-7,41
32323500,41
92512000-3,41
65100000-4,41
39314000,41
39715200-9,41
80540000-1,41
35111300-8,41
90918000-5,41
34992200,40
44411000-4,40
92300000,40
55241000-1,40
45216110,40
45213230-4,40
45432110-8,40
64000000-6,40
79952100,40
71521000,40
71631200,40
45316200-7,40
77211500,40
79111000,40
50531100,40
71311000-1,40
71223000,40
15300000,39
90921000-9,39
50232200-2,39
35113400,39
35000000-4,39
71610000-7,39
48822000-6,39
48920000-3,39
80424000-2,39
30199770,39
55523000-2,39
44111000,39
55322000-3,39
45311100-1,39
45262220-9,39
18143000,38
39150000,38
50711000,38
64121100,38
45442120-4,38
71353000-7,38
45112712-9,38
45216120-1,38
71311300,38
71631200-2,38
79953000-9,38
92521200-1,38
65130000-3,37
50511000,37
44114100-3,37
34121000-1,37
35121700-5,37
64221000-1,37
44115000-9,37
79300000,37
33110000,37
45332400-7,37
92600000-7,37
79600000,37
79212300,37
45232120-9,37
75130000,37
45232470-7,37
90513900-5,37
45214100-1,37
72210000-0,37
